"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"South Carolina",2022,3,987,14,204,36,44,11,50,18,18,NULL,219,52,55,78
"Pennsylvania",2022,2,2959,56,528,81,89,38,118,41,69,48,672,132,413,521
"Iowa",2020,7,552,NULL,121,18,23,11,24,12,15,15,135,26,29,34
"Colorado",2021,5,728,10,148,21,34,NULL,45,14,12,NULL,147,40,60,70
"Arkansas",2020,2,631,13,130,24,41,20,52,11,16,0,166,28,0,0
"Pennsylvania",2022,4,2355,48,518,72,70,37,110,43,59,47,607,123,41,69
"California",2022,7,5255,34,1161,207,305,83,193,59,80,280,1157,330,230,325
"Alabama",2020,12,1451,21,198,39,72,20,64,23,22,25,309,66,346,367
"Mississippi",2022,2,826,NULL,135,30,36,14,43,NULL,18,NULL,182,38,172,219
"Florida",2020,1,4236,58,894,138,140,83,273,59,68,64,1036,319,171,190
"West Virginia",2022,6,430,NULL,91,16,12,11,30,NULL,12,20,88,23,13,20
"Kansas",2021,3,476,NULL,95,14,14,13,24,NULL,12,NULL,108,27,21,28
"New Hampshire",2020,9,214,0,46,NULL,12,NULL,16,NULL,NULL,0,56,13,NULL,NULL
"United States",2021,3,55888,784,11394,1951,2260,767,2612,841,1028,594,13110,3124,4615,5462
"Alabama",2022,2,1418,20,212,41,64,18,67,23,29,21,319,66,292,331
"Louisiana",2022,6,798,21,169,30,33,11,41,17,17,12,221,44,12,15
"Idaho",2021,5,262,0,60,14,15,0,15,NULL,NULL,0,57,12,13,16
"Michigan",2020,8,1770,24,396,52,80,22,96,22,33,15,483,100,47,56
"Arizona",2022,2,1586,11,253,57,54,21,82,25,16,19,306,67,307,362
"Connecticut",2020,6,561,13,126,17,19,10,19,14,NULL,NULL,116,27,60,73
"New Mexico",2021,7,335,NULL,66,16,10,11,19,11,NULL,NULL,71,17,10,12
"Maryland",2021,10,999,20,204,37,24,15,34,11,11,NULL,231,60,96,110
"Alaska",2022,3,85,NULL,20,NULL,NULL,0,NULL,0,0,NULL,17,NULL,12,16
"Oregon",2021,2,734,NULL,164,28,37,NULL,39,16,13,14,143,45,38,45
"New Jersey",2021,3,1528,43,286,37,54,23,43,39,32,22,356,68,208,236
"South Dakota",2020,8,149,0,36,10,12,0,NULL,0,0,0,34,10,10,11
"Illinois",2021,12,2481,32,473,68,86,35,100,30,49,31,552,143,380,413
"Kansas",2020,10,571,NULL,109,21,15,11,30,12,13,11,110,28,86,91
"United States",2021,4,53768,707,11409,1891,2060,710,2543,816,1003,597,12838,3058,3729,4403
"Alabama",2021,5,1026,20,199,25,51,16,64,20,22,18,281,55,42,48
"Texas",2021,9,5975,67,817,167,200,54,196,67,88,51,981,220,2047,2139
"Alaska",2020,7,73,0,19,NULL,NULL,0,NULL,0,NULL,NULL,16,NULL,NULL,NULL
"New Mexico",2021,1,506,0,70,18,10,NULL,19,NULL,NULL,NULL,95,16,146,159
"Missouri",2022,5,1164,18,265,32,46,21,79,18,28,12,300,61,15,23
"Oregon",2020,9,668,NULL,163,25,36,NULL,32,12,NULL,11,136,45,17,19
"Rhode Island",2020,3,199,NULL,43,NULL,13,0,16,0,0,0,49,11,0,0
"Idaho",2020,10,298,NULL,56,10,15,0,18,0,NULL,NULL,65,13,35,40
"Kansas",2020,9,522,11,102,17,16,10,31,10,13,NULL,117,21,45,50
"District of Columbia",2022,5,96,0,22,0,0,0,NULL,NULL,NULL,0,26,11,0,NULL
"Colorado",2021,1,913,13,173,27,40,NULL,43,15,13,NULL,162,47,143,174
"Missouri",2020,10,1420,19,244,37,53,16,67,32,35,15,320,68,229,250
"Michigan",2021,12,2780,26,414,77,100,34,117,26,39,14,591,126,738,805
"Rhode Island",2021,7,166,0,40,NULL,10,NULL,12,NULL,NULL,0,38,12,0,0
"Delaware",2021,8,190,0,47,14,NULL,NULL,11,0,NULL,0,38,17,16,18
"New York",2022,9,1382,22,307,41,24,29,50,28,22,116,346,48,39,66
"Montana",2021,8,232,NULL,40,10,10,NULL,17,NULL,NULL,NULL,55,NULL,31,33
"Maine",2022,9,298,0,66,10,13,NULL,19,NULL,NULL,28,62,12,10,12
"Kansas",2021,6,465,NULL,98,17,16,NULL,31,12,13,NULL,113,23,11,13
"Indiana",2022,6,1169,17,244,43,39,15,86,25,30,NULL,263,54,28,40
"Texas",2020,6,4000,66,798,133,223,59,185,47,80,34,937,219,268,289
"Illinois",2020,8,1927,32,446,61,75,31,79,21,44,21,474,115,91,104
"Rhode Island",2022,1,260,0,38,11,10,NULL,11,NULL,NULL,0,55,12,61,71
"Pennsylvania",2021,11,2998,57,536,83,84,39,112,46,61,37,654,142,470,526
"Maryland",2021,3,1005,17,203,36,22,13,36,11,15,NULL,234,71,90,108
"California",2020,12,8233,41,1198,315,445,115,257,64,101,30,1545,402,2393,2545
