"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Texas",2020,4,3961,65,819,154,213,75,213,53,86,27,938,225,193,205
"Oregon",2022,5,736,NULL,152,27,39,NULL,37,12,14,31,137,51,16,28
"New Mexico",2020,8,355,NULL,70,18,15,NULL,16,NULL,NULL,NULL,76,16,24,26
"Oregon",2021,5,713,NULL,162,29,36,NULL,29,12,17,16,140,41,40,46
"Nevada",2021,7,548,NULL,94,14,14,11,25,NULL,NULL,10,157,26,76,78
"District of Columbia",2020,11,111,NULL,23,0,0,NULL,NULL,NULL,0,0,25,11,14,13
"Connecticut",2021,3,592,11,127,17,20,13,22,13,13,NULL,128,26,48,57
"Montana",2020,4,176,NULL,34,11,11,NULL,15,NULL,NULL,0,43,11,0,0
"Alaska",2020,9,84,NULL,19,NULL,NULL,0,NULL,0,0,0,14,11,NULL,NULL
"Vermont",2020,4,116,0,24,NULL,NULL,0,11,0,0,0,27,10,11,11
"Georgia",2022,3,1724,38,331,50,75,21,78,47,47,25,411,102,98,129
"Puerto Rico",2022,3,577,14,104,56,48,12,22,11,22,16,109,28,14,18
"South Carolina",2021,12,1084,16,198,32,46,17,54,15,17,11,253,62,83,94
"New York",2022,8,1436,24,318,36,29,31,45,30,23,106,366,55,50,74
"New Mexico",2022,2,457,0,69,15,14,10,26,11,NULL,NULL,83,23,85,104
"South Dakota",2021,11,196,NULL,34,12,10,NULL,NULL,NULL,0,0,37,12,30,35
"Wisconsin",2020,3,1013,14,220,31,51,33,64,16,15,NULL,246,50,6,6
"North Dakota",2022,3,135,0,24,11,12,0,12,NULL,NULL,NULL,30,NULL,12,14
"West Virginia",2022,1,597,NULL,92,24,19,16,39,NULL,11,14,112,19,123,138
"Mississippi",2022,6,576,11,115,22,33,16,36,10,13,10,160,33,13,20
"Montana",2020,11,292,0,43,13,NULL,0,16,NULL,0,NULL,47,11,84,95
"Louisiana",2020,6,884,20,177,29,43,15,42,19,17,14,214,50,78,84
"Hawaii",2020,8,214,0,47,10,14,NULL,NULL,NULL,NULL,NULL,51,15,15,20
"United States",2022,1,77981,919,12023,2499,2887,1126,3298,1038,1320,868,16196,3710,16572,19124
"Texas",2021,12,4429,71,845,160,197,76,197,72,88,49,989,228,436,481
"Arizona",2020,7,1699,12,249,56,79,25,70,28,13,24,304,61,449,480
"West Virginia",2020,11,486,10,90,22,16,NULL,28,NULL,14,13,98,17,64,68
"Delaware",2021,5,179,NULL,46,NULL,11,NULL,12,0,NULL,0,37,13,11,13
"Illinois",2021,11,2209,34,458,69,82,33,100,32,56,31,517,134,167,186
"North Dakota",2021,4,124,NULL,30,NULL,10,0,NULL,0,NULL,0,25,10,10,13
"South Carolina",2020,4,960,13,189,37,52,13,58,18,16,12,215,51,47,50
"Utah",2021,4,332,NULL,68,17,15,NULL,13,0,NULL,NULL,81,17,15,15
"Louisiana",2021,8,1260,18,178,44,46,16,40,22,17,14,250,46,378,403
"District of Columbia",2020,12,139,NULL,23,NULL,0,0,0,0,0,0,37,11,25,28
"Utah",2020,2,353,NULL,65,14,22,12,20,12,11,NULL,88,18,0,0
"Oregon",2022,3,755,10,157,29,35,NULL,32,12,12,20,149,47,40,61
"North Carolina",2020,12,2331,35,375,76,95,35,93,35,41,29,439,116,465,518
"Nevada",2021,4,496,0,108,20,13,10,27,NULL,12,NULL,131,29,31,35
"Nebraska",2022,2,393,NULL,65,15,16,10,19,NULL,NULL,NULL,78,18,52,70
"Maine",2020,3,267,0,68,13,11,17,20,NULL,NULL,0,56,17,0,0
"Mississippi",2021,10,654,11,119,24,31,14,34,12,14,10,154,30,84,94
"Kentucky",2020,12,1298,21,208,34,40,19,62,16,19,15,233,52,332,369
"Minnesota",2020,7,774,NULL,182,24,41,10,40,11,12,20,149,41,29,37
"West Virginia",2021,2,490,10,88,24,14,13,31,NULL,17,10,101,24,59,71
"Puerto Rico",2022,6,612,12,100,51,56,12,17,11,20,23,106,27,39,48
"Idaho",2021,3,276,NULL,62,12,13,0,18,NULL,NULL,0,66,13,14,16
"Iowa",2020,10,676,10,123,22,27,10,30,NULL,11,10,151,24,102,113
"Delaware",2022,9,148,NULL,40,0,10,0,11,NULL,NULL,10,29,12,NULL,12
"Colorado",2020,9,701,10,159,21,35,NULL,40,12,10,NULL,145,40,20,24
"Michigan",2021,9,1919,30,408,61,68,23,94,23,36,13,489,96,168,188
"Wisconsin",2020,9,964,14,220,31,51,11,43,15,13,NULL,230,54,35,45
"Virginia",2021,6,1238,18,288,45,45,15,54,22,29,13,288,66,33,40
"South Dakota",2022,5,144,NULL,32,NULL,10,0,11,0,0,0,32,12,0,0
"United States",2022,8,53490,744,11482,1657,2110,637,2471,840,998,3322,11824,2930,2071,3076
"Ohio",2021,1,3241,41,472,93,122,43,125,50,50,34,643,149,843,953
"Nevada",2022,6,504,10,95,16,15,12,27,NULL,0,15,141,29,18,23
"Washington",2020,10,1060,13,251,42,66,12,45,15,10,13,221,58,44,54
"Ohio",2022,1,3632,39,497,112,121,46,148,48,62,36,705,166,1015,1145
"Idaho",2021,6,267,NULL,59,12,14,NULL,18,NULL,NULL,NULL,61,16,11,13
"Vermont",2021,7,104,0,27,NULL,NULL,0,NULL,0,0,0,28,NULL,0,0
"Illinois",2022,6,1918,32,440,63,67,30,98,31,53,45,461,117,46,75
"Alaska",2022,1,105,NULL,19,NULL,NULL,0,NULL,0,0,NULL,18,14,13,16
"South Carolina",2021,1,1435,15,203,45,53,14,64,20,18,12,263,62,385,411
"Virginia",2021,10,1601,23,299,54,44,20,66,27,36,13,324,77,234,254
"Georgia",2021,10,2004,35,348,54,85,25,84,42,43,21,406,94,374,403
"New Hampshire",2022,9,229,0,54,13,15,0,11,NULL,0,13,50,13,NULL,11
"Washington",2022,1,1459,16,267,51,89,11,54,18,11,21,287,71,215,259
"North Carolina",2020,10,1928,29,398,72,79,25,94,28,37,20,374,110,199,221
"California",2021,1,9507,43,1164,304,452,120,274,65,109,43,1601,413,3553,3769
"Rhode Island",2022,9,161,0,39,NULL,NULL,0,NULL,0,NULL,13,35,10,NULL,11
"Rhode Island",2021,6,168,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,10,NULL,NULL
"Mississippi",2021,4,590,NULL,127,25,27,14,39,NULL,12,NULL,148,33,31,43
"Louisiana",2020,2,880,22,180,36,41,20,51,26,21,16,244,47,0,0
"Texas",2021,11,4354,79,840,154,200,58,194,65,80,48,980,233,413,458
"Hawaii",2021,8,256,NULL,48,13,12,NULL,NULL,0,NULL,NULL,59,19,30,32
"Hawaii",2021,3,219,NULL,46,NULL,13,NULL,NULL,NULL,11,0,60,15,NULL,NULL
"Minnesota",2021,12,1151,11,207,34,56,11,43,15,15,32,190,50,230,258
"Maryland",2021,11,970,22,202,33,24,13,31,14,12,11,226,61,66,78
"Montana",2021,4,179,0,43,10,NULL,NULL,10,NULL,0,0,44,11,NULL,10
"South Carolina",2021,10,1171,16,195,31,46,14,55,15,16,13,227,55,244,262
"Massachusetts",2022,3,1053,14,234,32,25,19,40,21,25,17,234,45,23,39
"California",2022,1,7371,42,1203,282,422,132,287,75,116,62,1557,437,1354,1535
"Maine",2022,2,320,0,64,16,11,NULL,14,NULL,NULL,0,73,11,50,49
"Oregon",2021,7,711,NULL,162,31,35,NULL,32,14,NULL,14,148,42,18,23
"Iowa",2022,1,782,10,130,24,29,19,38,11,10,12,182,28,136,159
"California",2021,5,4787,29,1120,212,293,72,209,54,79,27,1152,342,123,166
"Alaska",2022,4,80,NULL,18,NULL,0,0,NULL,0,0,0,17,NULL,NULL,NULL
"Connecticut",2020,9,528,11,125,16,18,13,22,10,12,NULL,124,28,11,12
"Utah",2022,3,389,12,73,16,21,NULL,17,NULL,11,12,86,14,23,32
"Connecticut",2022,3,570,11,133,15,19,NULL,21,14,16,12,142,28,22,22
"Washington",2021,10,1290,11,261,45,72,15,54,14,11,15,249,59,181,201
"New Hampshire",2021,9,236,0,55,14,11,NULL,13,NULL,NULL,NULL,53,10,13,15
"Louisiana",2022,8,777,17,165,25,42,14,39,16,18,10,203,45,32,45
"Connecticut",2021,10,587,15,133,12,20,15,24,13,11,13,128,28,31,35
"South Carolina",2022,6,918,13,198,33,39,12,54,16,16,18,209,53,17,32
"West Virginia",2020,10,419,12,90,18,15,10,29,NULL,11,10,89,15,27,30
"Indiana",2022,3,1251,15,254,45,44,14,80,18,31,10,288,68,68,98
"Colorado",2020,10,752,11,151,22,38,NULL,42,12,12,NULL,153,44,47,54
"Wisconsin",2021,2,1028,15,222,32,37,12,50,11,18,NULL,249,52,80,105
"South Dakota",2022,6,135,0,32,NULL,12,NULL,NULL,0,NULL,0,30,NULL,NULL,NULL
"Rhode Island",2020,11,221,0,39,11,11,NULL,NULL,0,0,0,47,10,38,46
"Oregon",2020,6,641,NULL,151,24,28,NULL,33,11,NULL,14,132,40,12,14
"Connecticut",2021,8,566,10,126,17,20,10,22,13,11,NULL,135,27,23,25
"Nevada",2021,8,635,NULL,106,17,18,NULL,26,NULL,NULL,NULL,153,22,158,165
"New Mexico",2022,7,336,NULL,61,12,14,NULL,17,NULL,11,25,65,15,17,24
"Illinois",2020,3,2090,34,460,60,90,86,122,34,56,23,513,124,28,29
"Ohio",2020,5,2393,41,451,86,107,34,122,36,39,27,571,125,249,271
"Kentucky",2020,2,891,18,200,32,32,22,72,17,18,14,208,37,0,0
"Rhode Island",2020,1,204,NULL,35,10,17,NULL,13,0,NULL,0,50,12,16,19
"Arizona",2020,4,1241,10,255,44,67,22,75,22,17,16,260,59,82,87
"Mississippi",2021,3,637,NULL,119,29,33,13,36,12,14,NULL,165,34,47,64
"Maine",2021,8,267,0,60,12,12,NULL,21,NULL,NULL,0,66,13,18,14
"West Virginia",2021,10,577,11,92,23,17,11,26,NULL,14,13,111,17,137,154
"Colorado",2021,2,777,14,146,23,36,NULL,53,16,12,0,156,43,68,85
"New York",2020,11,1524,17,317,52,36,33,58,28,30,22,400,60,120,136
"New York",2020,4,4988,19,315,106,57,114,103,43,33,35,1017,76,2536,2692
"Kansas",2021,7,479,NULL,101,15,13,NULL,28,NULL,NULL,NULL,115,22,25,28
"Georgia",2021,4,1693,28,363,51,75,23,92,41,38,23,383,99,104,126
"Alaska",2021,11,119,NULL,20,NULL,0,0,12,0,0,0,21,NULL,26,29
"Washington",2022,9,1025,14,248,32,64,11,45,18,13,53,205,50,27,42
"Michigan",2022,5,1834,25,395,57,75,27,98,25,40,38,508,100,50,79
"Louisiana",2022,7,824,18,169,30,37,11,41,18,21,10,224,45,31,45
"Colorado",2020,12,1108,13,165,28,46,NULL,45,14,10,NULL,159,42,343,396
"Arizona",2021,4,1142,12,260,46,46,18,59,20,18,13,259,65,46,55
"Michigan",2020,1,1968,25,407,68,87,37,127,27,37,11,505,119,97,108
"Arkansas",2020,12,878,12,121,27,37,12,49,12,12,10,186,38,227,250
"Kentucky",2021,9,1304,17,207,38,33,11,57,20,27,15,221,42,383,408
"Mississippi",2022,4,575,NULL,126,18,27,14,38,12,10,NULL,157,38,12,21
"California",2020,5,5180,30,1110,201,340,87,245,49,70,20,1226,312,487,510
"Alabama",2022,6,966,22,190,30,53,14,49,20,22,23,257,58,16,22
"Michigan",2021,11,2430,23,425,73,98,30,114,25,41,14,561,121,453,506
"Kansas",2021,1,687,10,94,21,16,12,30,NULL,14,NULL,124,25,180,200
"Illinois",2022,3,1975,30,432,54,70,35,98,32,57,32,482,118,76,100
"Arkansas",2022,1,848,15,122,37,33,16,51,11,18,NULL,200,39,155,178
"New Hampshire",2020,4,231,NULL,49,10,13,NULL,14,NULL,NULL,NULL,43,11,14,16
"Tennessee",2020,11,1745,20,290,48,66,25,96,22,20,17,369,84,327,364
"New Hampshire",2021,8,225,NULL,53,NULL,10,0,13,NULL,0,NULL,52,11,8,9
"Delaware",2020,12,251,NULL,46,10,12,NULL,11,0,NULL,0,44,14,52,60
"Georgia",2022,9,1220,19,268,28,66,15,68,28,32,32,276,68,42,61
"District of Columbia",2021,6,104,0,20,NULL,0,NULL,NULL,NULL,0,0,31,NULL,NULL,NULL
"Alabama",2021,11,1085,23,200,36,51,18,67,19,21,21,262,64,62,70
"Arizona",2020,10,1107,19,228,39,50,15,60,18,15,19,253,60,48,56
"Pennsylvania",2022,5,2333,50,519,80,62,33,109,38,66,45,578,133,67,99
"New York",2020,2,1491,20,332,45,37,54,75,30,28,27,442,60,0,0
"Connecticut",2021,2,660,14,122,15,20,NULL,24,12,12,NULL,134,30,110,123
"Colorado",2020,2,733,11,169,20,42,14,54,14,12,NULL,151,45,0,0
"Georgia",2022,8,1614,28,352,43,85,20,78,38,41,43,349,93,78,109
"District of Columbia",2021,8,108,0,22,NULL,0,0,NULL,NULL,0,0,31,NULL,11,12
"District of Columbia",2022,8,95,0,22,0,0,0,NULL,NULL,0,13,20,NULL,0,10
"Georgia",2021,2,2190,37,349,54,90,33,87,49,46,23,444,106,442,484
"Maryland",2022,7,866,16,211,30,20,12,31,13,14,13,208,64,23,41
"Kentucky",2020,11,1147,17,196,29,36,11,60,14,22,15,236,45,211,238
"Indiana",2022,4,1196,16,251,46,41,13,81,25,28,11,282,67,23,35
"Arkansas",2022,8,598,11,127,21,26,10,40,10,14,22,133,27,27,37
"South Dakota",2022,7,149,0,35,11,NULL,NULL,15,NULL,NULL,0,33,10,NULL,10
"Ohio",2021,11,2863,39,494,96,106,39,130,43,51,38,614,163,458,504
"South Dakota",2020,12,241,NULL,28,10,13,NULL,11,NULL,0,0,30,NULL,100,109
"Pennsylvania",2022,6,2308,47,497,79,76,32,101,42,52,65,562,120,79,119
"Virginia",2022,3,1394,24,292,53,43,16,64,24,35,13,317,82,77,101
"North Dakota",2021,5,127,NULL,25,NULL,10,NULL,NULL,NULL,0,NULL,28,NULL,10,13
"District of Columbia",2022,1,158,NULL,24,0,0,NULL,NULL,0,0,0,38,13,31,45
"Arkansas",2020,11,810,11,129,29,41,13,45,14,13,NULL,166,36,168,193
"Alabama",2021,9,1494,20,190,31,53,22,57,16,24,22,297,65,464,482
"Puerto Rico",2020,1,582,17,99,67,46,16,19,12,19,12,111,27,11,13
"West Virginia",2020,4,413,NULL,90,21,18,16,35,NULL,14,NULL,87,14,13,13
"South Dakota",2020,9,172,NULL,35,10,11,0,11,0,0,0,40,NULL,21,24
"Maine",2020,7,260,NULL,66,11,12,NULL,18,NULL,0,0,55,16,NULL,NULL
"Connecticut",2022,7,561,10,131,13,19,12,20,12,15,20,124,26,15,20
"South Dakota",2021,8,147,0,34,NULL,12,NULL,15,NULL,0,0,29,NULL,10,11
"Mississippi",2020,6,656,NULL,121,26,34,15,39,12,14,NULL,171,36,68,76
"Vermont",2022,2,129,0,35,NULL,13,0,NULL,NULL,0,0,29,NULL,11,14
"Georgia",2020,4,1881,38,333,58,112,37,99,42,42,24,391,97,226,242
"North Carolina",2022,7,1838,29,389,65,74,20,92,33,35,108,372,108,62,94
"Vermont",2021,11,127,0,26,NULL,10,0,10,NULL,0,0,31,NULL,11,11
"District of Columbia",2021,4,108,0,20,NULL,0,NULL,NULL,NULL,0,0,24,NULL,13,15
"Alaska",2020,6,69,0,19,0,NULL,NULL,NULL,0,0,0,16,NULL,0,0
"California",2022,4,4949,28,1135,207,291,77,203,59,90,134,1181,339,78,126
"Vermont",2020,8,93,0,21,NULL,NULL,0,NULL,0,0,0,24,NULL,0,0
"North Carolina",2022,6,1857,23,404,59,71,22,91,30,41,92,406,99,54,78
"Ohio",2020,9,2270,32,492,77,105,26,122,40,34,36,538,127,133,150
"United States",2020,8,57154,734,11567,1899,2491,734,2637,767,957,633,12748,2979,6451,7118
"Ohio",2022,5,2117,39,450,72,82,27,121,36,44,38,554,121,37,63
"Pennsylvania",2021,8,2383,52,548,68,74,32,104,38,56,38,580,117,107,122
"Mississippi",2020,12,877,11,139,31,47,18,41,10,15,NULL,173,38,215,241
"New Hampshire",2021,11,277,NULL,56,13,11,NULL,14,NULL,NULL,NULL,60,12,31,35
"Alabama",2021,7,1001,23,194,29,46,16,56,15,20,19,266,55,50,54
"Mississippi",2022,8,600,NULL,123,18,31,12,38,11,15,15,155,35,29,45
"Oklahoma",2020,7,726,11,160,25,30,10,47,NULL,11,NULL,206,29,37,44
"Oklahoma",2020,1,874,10,158,29,37,15,68,14,12,NULL,245,39,106,122
"Massachusetts",2022,4,1018,18,227,26,30,19,40,21,25,18,230,42,17,29
"North Dakota",2020,4,139,NULL,23,11,11,NULL,NULL,0,NULL,NULL,29,12,10,11
"Arizona",2020,9,1131,10,237,44,53,12,57,20,14,20,260,55,58,69
"Puerto Rico",2021,6,557,14,110,61,45,16,22,13,17,NULL,107,22,17,18
"Washington",2022,4,1116,14,245,44,64,11,53,16,13,24,257,61,13,27
"Iowa",2020,6,536,NULL,112,17,25,NULL,26,10,15,10,129,24,37,40
"Alabama",2021,6,998,21,191,28,43,18,62,18,21,16,278,63,26,32
"Washington",2022,5,1111,14,250,37,68,13,57,20,11,23,237,59,24,38
"Kentucky",2022,8,872,18,200,28,24,13,53,19,18,12,197,38,48,78
"Vermont",2022,9,98,0,23,NULL,10,0,0,0,0,19,21,NULL,NULL,NULL
"Puerto Rico",2021,5,599,14,104,61,54,11,18,NULL,19,NULL,109,26,40,45
"Virginia",2020,12,1670,20,282,60,56,20,66,32,32,15,314,84,295,324
"New Hampshire",2020,3,230,NULL,49,NULL,14,11,18,NULL,NULL,NULL,55,10,0,0
"Minnesota",2022,9,777,11,184,26,39,NULL,38,14,12,20,151,39,23,37
"Maine",2021,11,355,0,66,19,14,NULL,17,11,11,0,69,14,50,53
"New York",2021,10,1538,23,328,47,29,35,58,30,23,27,400,64,133,147
"North Carolina",2021,1,2635,37,391,82,105,30,101,35,51,25,461,125,658,723
"California",2020,7,5562,25,1113,224,333,93,225,45,81,28,1220,321,762,822
"Oregon",2022,8,706,NULL,154,23,32,NULL,32,13,12,46,135,42,22,39
"West Virginia",2020,8,423,NULL,88,20,18,NULL,27,NULL,11,10,94,15,19,23
"Louisiana",2020,12,1084,23,180,41,52,14,42,17,20,13,248,51,204,223
"California",2020,6,5068,29,1094,201,329,86,211,47,71,25,1186,326,428,462
"Oklahoma",2022,3,816,NULL,157,32,28,16,62,10,12,10,232,37,55,89
"Nevada",2020,3,480,NULL,99,22,18,18,39,13,NULL,NULL,136,28,6,6
"Mississippi",2021,1,905,10,118,35,39,18,49,11,18,NULL,195,49,223,258
"Florida",2021,5,4077,47,913,137,118,48,198,57,59,61,928,291,274,310
"Utah",2022,9,319,NULL,64,12,22,NULL,15,10,10,25,64,17,NULL,10
"North Carolina",2022,5,1797,25,394,64,71,19,83,33,37,72,388,116,28,52
"Maryland",2020,5,1277,17,208,38,22,18,44,14,15,10,244,59,336,364
"Maryland",2021,12,1079,17,204,34,20,13,37,12,16,11,263,68,124,143
"Mississippi",2020,11,722,NULL,117,29,38,15,42,11,13,NULL,168,38,114,134
"Mississippi",2022,3,638,NULL,127,27,29,14,46,14,12,NULL,166,32,38,61
"Oklahoma",2022,2,1045,NULL,150,26,42,14,64,10,11,NULL,256,35,238,313
"Alaska",2020,5,74,0,19,NULL,0,0,NULL,0,0,0,17,NULL,0,0
"Florida",2020,8,4989,45,880,150,162,53,217,44,63,66,980,309,1052,1174
"Arizona",2020,5,1204,10,241,49,60,17,70,20,16,19,262,63,103,113
"Michigan",2020,10,1944,18,421,60,94,28,97,23,32,12,507,115,111,125
"Vermont",2022,3,115,0,27,NULL,NULL,0,NULL,NULL,0,0,32,NULL,NULL,10
"Florida",2021,12,4123,54,904,145,121,55,208,56,75,73,979,317,139,172
"Michigan",2022,2,2158,25,397,65,86,29,99,23,46,25,547,117,273,353
"United States",2020,4,70523,815,11429,2251,2884,1458,3292,961,1060,674,14785,3154,14032,14816
"Kentucky",2022,6,890,22,194,29,28,14,57,19,24,16,203,46,31,50
"Texas",2021,5,3936,63,846,143,190,47,190,55,78,38,898,224,246,281
"Maryland",2022,6,871,21,200,28,21,15,33,10,17,10,216,61,25,44
"New Jersey",2022,2,1613,36,289,44,56,25,49,38,38,26,382,82,189,248
"California",2020,1,6458,39,1182,259,397,178,280,76,99,24,1441,387,900,1180
"Virginia",2022,1,1993,28,314,73,58,26,72,32,39,20,386,98,422,485
"Vermont",2020,6,96,0,27,NULL,12,0,NULL,NULL,0,0,26,NULL,0,0
"Missouri",2020,4,1272,18,251,35,61,24,79,30,31,13,306,67,93,96
"Illinois",2021,4,1981,27,410,59,69,28,97,26,52,23,473,125,144,158
"New Mexico",2022,6,344,NULL,65,15,19,NULL,19,10,10,13,73,17,12,17
"South Dakota",2020,2,153,NULL,37,12,12,NULL,11,NULL,NULL,0,34,14,0,0
"Indiana",2021,9,1502,20,278,47,50,12,88,20,25,11,288,70,277,300
"South Dakota",2022,3,147,0,26,NULL,11,NULL,10,NULL,0,0,35,12,15,13
"Arizona",2020,6,1339,11,256,46,68,14,71,23,15,16,275,60,178,192
"Maryland",2022,9,819,16,193,22,16,NULL,27,12,13,50,183,50,26,44
"New Mexico",2020,6,369,NULL,64,14,13,NULL,21,NULL,11,NULL,84,16,29,31
"South Dakota",2021,3,152,NULL,41,NULL,NULL,0,11,NULL,0,0,31,NULL,NULL,12
"Wisconsin",2020,2,1015,13,223,32,51,21,62,15,16,NULL,257,51,0,0
"New Hampshire",2021,5,220,NULL,53,10,10,0,11,NULL,NULL,NULL,54,13,10,11
"Pennsylvania",2021,6,2273,43,531,75,61,31,95,46,51,33,589,116,71,88
"Rhode Island",2021,3,205,NULL,44,10,11,0,10,NULL,14,0,48,16,16,22
"Texas",2021,8,5495,66,863,160,187,55,205,54,92,48,1007,235,1501,1589
"New Jersey",2022,6,1280,41,269,37,36,17,53,29,29,54,322,55,33,52
"Pennsylvania",2021,5,2430,43,516,80,69,28,101,35,55,35,591,119,191,217
"Nebraska",2020,10,381,NULL,67,13,19,NULL,18,NULL,NULL,NULL,66,18,52,59
"Indiana",2020,3,1293,19,279,43,61,36,99,25,32,13,296,68,15,16
"California",2021,12,5854,37,1192,230,325,104,255,68,109,67,1337,366,465,510
"South Dakota",2020,6,140,0,32,NULL,15,0,10,0,0,0,30,NULL,11,11
"Mississippi",2020,2,593,NULL,120,24,34,21,46,12,15,NULL,170,36,0,0
"Ohio",2021,5,2198,34,467,84,83,23,119,42,39,27,541,127,107,128
"New Jersey",2020,1,1579,39,313,44,48,32,65,45,35,21,399,78,118,130
"Rhode Island",2021,12,247,NULL,47,10,14,NULL,12,NULL,NULL,0,56,11,31,37
"Pennsylvania",2020,1,2912,50,576,83,80,67,134,56,56,54,685,152,274,302
"North Carolina",2020,2,1825,35,399,59,97,62,120,33,41,13,392,118,0,0
"Tennessee",2022,4,1368,20,273,59,48,22,75,18,25,20,348,81,26,44
"California",2020,3,5216,34,1179,209,350,188,291,66,87,19,1288,338,84,88
"Kentucky",2020,4,910,21,184,30,32,18,72,17,16,13,205,36,55,56
"Colorado",2022,8,733,14,151,20,30,NULL,36,11,11,75,137,35,15,29
"Rhode Island",2022,5,179,0,44,NULL,11,NULL,11,NULL,NULL,0,44,11,NULL,11
"Minnesota",2020,2,856,12,198,26,54,19,44,14,13,21,174,45,0,0
"Utah",2021,2,383,NULL,65,15,18,NULL,14,11,10,NULL,91,19,35,44
"Indiana",2021,10,1486,19,278,50,42,15,86,22,24,14,303,69,226,248
"Indiana",2021,6,1202,18,278,49,40,13,76,25,24,NULL,277,66,44,55
"New Hampshire",2020,7,222,NULL,49,NULL,15,0,11,NULL,NULL,NULL,56,12,12,14
"South Carolina",2022,4,899,15,185,29,44,16,48,16,16,11,223,55,10,22
"Illinois",2021,5,1952,28,419,59,65,28,83,23,42,23,465,114,161,180
"Idaho",2021,11,370,NULL,67,11,16,NULL,20,NULL,NULL,NULL,67,14,72,79
"Maine",2022,5,274,0,63,15,11,NULL,16,NULL,NULL,0,67,12,15,15
"Iowa",2021,6,525,13,115,22,22,NULL,32,10,11,NULL,137,27,11,12
"Massachusetts",2021,2,1264,15,243,30,33,20,47,22,28,13,228,49,184,212
"Iowa",2022,6,567,NULL,125,21,22,12,36,NULL,11,NULL,137,28,13,18
"Illinois",2022,8,2003,29,446,51,65,27,82,27,45,151,452,115,66,92
"Maine",2022,3,284,0,60,13,14,NULL,16,NULL,11,NULL,65,11,15,17
"Iowa",2022,9,466,NULL,97,14,22,NULL,24,13,NULL,NULL,113,19,19,24
"Delaware",2020,10,187,0,44,11,12,0,10,NULL,NULL,0,37,16,15,17
"Arizona",2020,1,1381,11,254,54,63,29,81,24,17,19,302,60,163,176
"Alabama",2022,9,816,17,158,21,41,11,41,12,23,24,213,49,28,38
"Virginia",2020,6,1270,15,281,46,46,16,55,21,27,14,275,70,84,95
"Rhode Island",2022,7,191,0,44,NULL,11,NULL,11,NULL,NULL,14,39,12,NULL,NULL
"Maine",2020,4,273,0,60,11,15,11,18,NULL,NULL,0,53,12,13,13
"Arizona",2022,7,1185,11,246,42,49,16,56,19,14,71,266,62,40,57
"Tennessee",2021,1,2028,23,271,56,64,31,93,24,27,22,399,92,524,564
"Texas",2022,8,3994,61,819,127,192,41,162,63,82,299,821,228,181,249
"Connecticut",2020,1,639,13,133,14,20,14,26,14,12,13,147,27,55,59
"Hawaii",2020,6,208,NULL,49,NULL,14,NULL,12,NULL,NULL,NULL,49,14,0,0
"Wisconsin",2020,8,967,16,232,28,41,12,46,16,16,NULL,225,49,37,47
"Idaho",2021,12,342,NULL,62,13,15,NULL,21,NULL,NULL,NULL,72,15,45,51
"Idaho",2022,9,266,0,55,13,16,NULL,17,NULL,NULL,21,54,13,NULL,13
"Kansas",2022,4,469,NULL,94,16,15,NULL,30,13,12,17,108,21,14,15
"Rhode Island",2021,2,221,NULL,40,12,13,NULL,NULL,NULL,NULL,0,50,NULL,36,48
"Utah",2021,9,442,NULL,73,14,21,NULL,15,NULL,13,14,91,16,75,80
"Nevada",2020,4,526,NULL,97,20,21,14,31,NULL,16,NULL,145,27,48,50
"Wyoming",2021,2,95,0,20,NULL,NULL,NULL,NULL,NULL,0,0,17,NULL,13,16
"North Carolina",2021,5,1832,26,400,78,73,24,87,30,41,20,395,103,104,121
"Alaska",2021,12,110,NULL,23,NULL,NULL,NULL,NULL,0,0,0,20,NULL,15,14
"Michigan",2020,2,1843,27,396,62,89,53,125,26,42,12,522,110,0,0
"Maryland",2020,8,916,19,209,33,17,15,37,12,11,NULL,230,56,53,65
"Tennessee",2020,6,1346,18,277,50,61,27,77,20,18,14,353,72,47,48
"Connecticut",2020,11,672,11,128,15,20,10,21,11,12,11,143,29,100,110
"Washington",2020,1,1128,14,250,41,73,26,61,18,13,11,252,61,33,37
"Minnesota",2021,4,805,NULL,197,31,38,NULL,38,13,NULL,16,148,47,45,60
"Minnesota",2021,2,849,10,206,26,41,NULL,37,13,12,22,161,44,55,76
"Massachusetts",2021,10,1119,13,244,27,26,18,50,23,21,16,244,42,69,79
"Nebraska",2020,7,303,NULL,70,12,17,NULL,17,NULL,NULL,NULL,60,15,10,12
"Kentucky",2020,7,874,16,184,22,29,12,55,13,18,18,216,43,33,39
"Missouri",2020,1,1321,20,253,31,63,26,85,34,30,13,330,67,82,92
"Alabama",2021,3,1048,21,175,26,50,20,53,20,23,20,266,63,81,93
